iter	Passed	Remaining
0	8	8924
1	15	7793
2	20	6949
3	26	6496
4	31	6247
5	37	6224
6	42	6065
7	46	5792
8	51	5615
9	54	5437
10	59	5309
11	62	5177
12	66	5070
13	70	4969
14	74	4897
15	78	4821
16	82	4758
17	86	4696
18	90	4650
19	93	4604
20	97	4561
21	101	4523
22	105	4488
23	109	4456
24	113	4427
25	117	4396
26	121	4375
27	125	4348
28	129	4323
29	133	4318
30	137	4299
31	141	4279
32	145	4258
33	149	4236
34	152	4218
35	156	4201
36	160	4182
37	164	4166
38	168	4149
39	172	4137
40	176	4120
41	180	4108
42	184	4097
43	187	4081
44	191	4067
45	195	4055
46	199	4051
47	203	4040
48	207	4028
49	211	4016
50	215	4003
51	218	3991
52	222	3983
53	226	3972
54	230	3962
55	234	3953
56	238	3946
57	242	3937
58	246	3928
59	250	3916
60	253	3909
61	257	3901
62	261	3892
63	265	3884
64	270	3890
65	274	3883
66	278	3874
67	281	3864
68	285	3857
69	289	3848
70	293	3840
71	297	3832
72	301	3824
73	305	3825
74	309	3818
75	313	3811
76	317	3803
77	321	3797
78	325	3790
79	328	3781
80	332	3774
81	336	3769
82	340	3763
83	344	3755
84	348	3749
85	352	3743
86	356	3741
87	360	3733
88	364	3730
89	368	3724
90	372	3721
91	376	3715
92	380	3710
93	384	3703
94	388	3698
95	392	3692
96	396	3692
97	406	3738
98	411	3741
99	414	3734
100	421	3749
101	425	3743
102	429	3738
103	433	3733
104	437	3729
105	441	3723
106	445	3718
107	449	3713
108	453	3707
109	457	3700
110	461	3695
111	465	3688
112	469	3683
113	473	3679
114	477	3672
115	481	3667
116	485	3661
117	489	3656
118	493	3650
119	497	3644
120	500	3639
121	505	3637
122	509	3634
123	514	3635
124	518	3629
125	523	3628
126	526	3622
127	531	3623
128	535	3617
129	540	3614
130	544	3614
131	548	3607
132	553	3605
133	557	3600
134	561	3598
135	565	3592
136	570	3590
137	573	3583
138	578	3583
139	582	3577
140	587	3576
141	591	3571
142	595	3569
143	599	3566
144	601	3544
145	605	3538
146	609	3536
147	613	3533
148	617	3528
149	621	3521
150	625	3518
151	629	3512
152	633	3507
153	637	3501
154	641	3496
155	645	3493
156	649	3486
157	653	3481
158	654	3460
159	658	3454
160	662	3451
161	665	3445
162	670	3441
163	673	3434
164	678	3431
165	681	3425
166	685	3421
167	689	3415
168	694	3413
169	698	3408
170	702	3404
171	705	3397
172	709	3392
173	713	3387
174	717	3382
175	721	3377
176	725	3372
177	729	3367
178	732	3361
179	736	3355
180	740	3351
181	744	3345
182	748	3341
183	752	3335
184	756	3330
185	759	3325
186	763	3320
187	767	3315
188	771	3311
189	775	3306
190	779	3301
191	783	3296
192	787	3292
193	791	3287
194	795	3284
195	799	3279
196	803	3275
197	807	3270
198	811	3266
199	815	3261
200	819	3257
201	823	3252
202	827	3248
203	831	3242
204	834	3237
205	838	3232
206	842	3227
207	846	3222
208	850	3218
209	854	3213
210	858	3210
211	862	3205
212	866	3201
213	870	3196
214	874	3192
215	878	3187
216	882	3183
217	886	3181
218	893	3188
219	898	3184
220	902	3179
221	910	3190
222	914	3187
223	918	3182
224	922	3178
225	926	3173
226	930	3170
227	934	3165
228	939	3161
229	943	3157
230	947	3153
231	950	3147
232	954	3142
233	958	3137
234	963	3136
235	967	3133
236	971	3127
237	975	3123
238	979	3118
239	983	3114
240	987	3109
241	991	3105
242	995	3100
243	999	3096
244	1003	3092
245	1007	3087
246	1011	3082
247	1017	3084
248	1021	3079
249	1025	3075
250	1029	3070
251	1033	3066
252	1036	3061
253	1041	3057
254	1044	3052
255	1052	3057
256	1058	3060
257	1062	3055
258	1066	3050
259	1070	3047
260	1075	3046
261	1080	3042
262	1084	3038
263	1088	3034
264	1092	3029
265	1096	3024
266	1099	3019
267	1104	3017
268	1109	3014
269	1112	3009
270	1118	3007
271	1121	3002
272	1126	2998
273	1129	2993
274	1133	2988
275	1137	2984
276	1141	2979
277	1145	2974
278	1149	2970
279	1153	2965
280	1156	2960
281	1160	2955
282	1164	2950
283	1168	2945
284	1172	2941
285	1176	2936
286	1180	2931
287	1183	2926
288	1187	2922
289	1191	2917
290	1195	2912
291	1199	2907
292	1203	2903
293	1206	2898
294	1210	2893
295	1214	2889
296	1218	2884
297	1222	2879
298	1226	2875
299	1230	2870
300	1234	2866
301	1238	2861
302	1241	2856
303	1245	2852
